stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.029448899993440136,0.04641759999503847,0.04641759999503847,5.480379999993602,space,5.432928099995479,None,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-12_13h57.29.759,untitled,2023.2.3,59.37822683610748,2023-11-12 13h57.40.371179 +0800,
,,,,,,,,,,,,,,,,5.480406300004688,5.4956152999948245,5.4956152999948245,48.21303509999416,space,42.71362340000633,None,,,,,,,,,,,,,,,,003,001,2023-11-12_13h57.29.759,untitled,2023.2.3,59.37822683610748,2023-11-12 13h57.40.371179 +0800,
8,test/leftstar.PNG,left,0,0,0,5,48.313916700004484,,,,,,,,,,,,,,,,48.21830229999614,48.313916700004484,48.72893589999876,48.72894570000062,49.21217149999575,49.65712380000332,49.49771090000286,49.497735800003284,50.82897299999604,50.82897299999604,51.6295941999997,52.06335539999418,left,1.2306591999949887,None,003,001,2023-11-12_13h57.29.759,untitled,2023.2.3,59.37822683610748,2023-11-12 13h57.40.371179 +0800,
8,test/rightstar.PNG,right,0,1,1,1,52.13326119999692,,,,,,,,,,,,,,,,52.06378749999567,52.13326119999692,52.57982480000646,52.57983509999758,53.07910339999944,,53.363843400002224,53.36386009999842,54.662421000000904,54.662421000000904,,55.38064960000338,right,0.7170380000025034,None,003,001,2023-11-12_13h57.29.759,untitled,2023.2.3,59.37822683610748,2023-11-12 13h57.40.371179 +0800,
,,,,,,,55.462801200003014,,,,,,,,,,,,,,,,55.38106840000546,55.462801200003014,55.897089399994,55.897098400004325,56.39557950000744,56.83838210000249,56.67938729999878,56.67939699999988,57.995519500007504,57.995519500007504,58.79551199999696,,,,,,,,,,,,
